"2.1.3 Positive Cases Chg Line","2020-03-19","","","331","331","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-20","","","218","218","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-21","","","244","244","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-22","","","265","265","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-23","","","222","222","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-24","","","580","580","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-25","","","471","471","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-26","","","795","795","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-27","","","842","842","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-28","","","640","640","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-29","","","480","480","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-30","","","1169","1169","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-31","","","1223","1223","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-01","","","1036","1036","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-02","","","1510","1510","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-03","","","1325","1325","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-04","","","1412","1412","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-05","","","898","898","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-06","","","1529","1529","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-07","","","1092","1092","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-08","","","1352","1352","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-09","","","1163","1163","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-10","","","1143","1143","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-11","","","1179","1179","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-12","","","554","554","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-13","","","990","990","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-14","","","1086","1086","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-15","","","1758","1758","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-16","","","1346","1346","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-17","","","1435","1435","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-18","","","1370","1370","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-19","","","645","645","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-20","","","2283","2283","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-21","","","2135","2135","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-22","","","1973","1973","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-23","","","1885","1885","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-24","","","1883","1883","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-25","","","1027","1027","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-26","","","1300","1300","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-27","","","1567","1567","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-28","","","1469","1469","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-29","","","2417","2417","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-30","","","1525","1525","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-01","","","1755","1755","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-02","","","1419","1419","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-03","","","1321","1321","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-04","","","1275","1275","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-05","","","2603","2603","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-06","","","1799","1799","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-07","","","1898","1898","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-08","","","2049","2049","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-09","","","2119","2119","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-10","","","1259","1259","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-11","","","1443","1443","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-12","","","1759","1759","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-13","","","2023","2023","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-14","","","1772","1772","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-15","","","1857","1857","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-16","","","2046","2046","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-17","","","1591","1591","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-18","","","1365","1365","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-19","","","2262","2262","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-20","","","2140","2140","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-21","","","2247","2247","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-22","","","2187","2187","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-23","","","2079","2079","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-24","","","1848","1848","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-25","","","2175","2175","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-26","","","2247","2247","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-27","","","2717","2717","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-28","","","2189","2189","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-29","","","2992","2992","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-30","","","3705","3705","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-31","","","2423","2423","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-01","","","2304","2304","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-02","","","2377","2377","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-03","","","2120","2120","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-04","","","3094","3094","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-05","","","3115","3115","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-06","","","2796","2796","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-07","","","2507","2507","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-08","","","2170","2170","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-09","","","2702","2702","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-10","","","3090","3090","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-11","","","2702","2702","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-12","","","3660","3660","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-13","","","3212","3212","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-14","","","2597","2597","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-15","","","2108","2108","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-16","","","3455","3455","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-17","","","4084","4084","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-18","","","4317","4317","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-19","","","3893","3893","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-20","","","4515","4515","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-21","","","4230","4230","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-22","","","5019","5019","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-23","","","7149","7149","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-24","","","5349","5349","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-25","","","5269","5269","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-26","","","6209","6209","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-27","","","5120","5120","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-28","2020-05-22","","7083","7083","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-29","","","9480","9480","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-30","","","7407","7407","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-01","","","6408","6408","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-02","","","5688","5688","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-03","","","6510","6510","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-04","","","5410","5410","","","","","","",""
"4.1.2 Test Reported Chg 14 day (2)","2020-07-05","true","","","1360882","724186","","0.0634375353630954","0.0662619824188813","86331","47986",""
"8.1.1 Deaths by Gender","Female","2740","43.7","43.7","DEATHS_PERCENT","","","","","","",""
"8.1.1 Deaths by Gender","Male","3517","56.1","56.1","DEATHS_PERCENT","","","","","","",""
"8.1.1 Deaths by Gender","Unknown","8","0.1","0.1","DEATHS_PERCENT","","","","","","",""
"8.1.1 Cases by Gender","Female","49.4","49.4","128461","CASE_PERCENT","","","","","","",""
