"8.1.2 Demo by Cases","0-17","0-17","10","10","10","10","66204","CASE_PERCENT","0-17","0-17","10","10","22.5","742896",""
"8.1.2 Demo by Cases","18-49","18-49","60.1","60.1","60.1","60.1","399060","CASE_PERCENT","18-49","18-49","60.1","60.1","43.5","742896",""
"8.1.2 Demo by Cases","50-64","50-64","19","19","19","19","126041","CASE_PERCENT","50-64","50-64","19","19","18.4","742896",""
"8.1.2 Demo by Cases","65+","65+","10.8","10.8","10.8","10.8","71455","CASE_PERCENT","65+","65+","10.8","10.8","15.6","742896",""
"8.1.2 Demo by Cases","Missing","Missing","0.1","0.1","0.1","0.1","909","CASE_PERCENT","Missing","Missing","0.1","0.1","","742896",""
"4.1.2 Test Reported Chg 14 day (2)","2020-08-23","true","18276","7.2","1714912","742896","15554","0.0638569209382172","0.0566795352243113","109509","42107","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","11487","11487","2020-03-19 00:00:00","2020-04-09 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","12528","12528","2020-03-20 00:00:00","2020-04-10 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","13467","13467","2020-03-21 00:00:00","2020-04-11 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","14317","14317","2020-03-22 00:00:00","2020-04-12 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","15554","15554","2020-03-23 00:00:00","2020-04-13 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","18276","18276","2020-03-24 00:00:00","2020-04-14 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","26416","26416","2020-03-28 00:00:00","2020-04-15 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","27251","27251","2020-03-29 00:00:00","2020-04-16 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","28704","28704","2020-03-30 00:00:00","2020-04-17 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","31038","31038","2020-03-31 00:00:00","2020-04-18 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","32944","32944","2020-04-01 00:00:00","2020-04-19 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","35267","35267","2020-04-02 00:00:00","2020-04-20 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","113687","113687","2020-04-03 00:00:00","2020-04-21 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","116563","116563","2020-04-04 00:00:00","2020-04-22 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","129693","129693","2020-04-05 00:00:00","2020-04-23 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","143172","143172","2020-04-06 00:00:00","2020-04-24 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","154733","154733","2020-04-07 00:00:00","2020-04-25 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","163704","163704","2020-04-08 00:00:00","2020-04-26 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","172076","172076","2020-04-09 00:00:00","2020-04-27 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","182986","182986","2020-04-10 00:00:00","2020-04-28 00:00:00","","","","","","","","","",""
