"2.1.2 Positive Cases Chg 7 Day","cases","2020-08-22","2020-03-21","222","43.5","true","","","","","","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-19","2020-04-01","","331","331","331","2020-03-19","2020-04-01","","331","331","331","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-20","2020-04-02","","218","218","218","2020-03-20","2020-04-02","","218","218","218","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-21","2020-04-03","","244","244","244","2020-03-21","2020-04-03","","244","244","244","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-22","2020-04-04","","265","265","265","2020-03-22","2020-04-04","","265","265","265","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-23","2020-04-05","","222","222","222","2020-03-23","2020-04-05","","222","222","222","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-24","2020-04-06","","580","580","580","2020-03-24","2020-04-06","","580","580","580","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-25","2020-04-07","","471","471","471","2020-03-25","2020-04-07","","471","471","471","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-26","2020-04-08","","795","795","795","2020-03-26","2020-04-08","","795","795","795","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-27","2020-04-09","","842","842","842","2020-03-27","2020-04-09","","842","842","842","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-28","2020-04-10","","640","640","640","2020-03-28","2020-04-10","","640","640","640","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-29","2020-04-11","","480","480","480","2020-03-29","2020-04-11","","480","480","480","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-30","2020-04-12","","1169","1169","1169","2020-03-30","2020-04-12","","1169","1169","1169","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-03-31","2020-04-13","","1223","1223","1223","2020-03-31","2020-04-13","","1223","1223","1223","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-01","2020-04-14","","1036","1036","1036","2020-04-01","2020-04-14","","1036","1036","1036","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-02","2020-04-15","","1510","1510","1510","2020-04-02","2020-04-15","","1510","1510","1510","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-03","2020-04-16","","1325","1325","1325","2020-04-03","2020-04-16","","1325","1325","1325","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-04","2020-04-17","","1412","1412","1412","2020-04-04","2020-04-17","","1412","1412","1412","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-05","2020-04-18","","898","898","898","2020-04-05","2020-04-18","","898","898","898","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-06","2020-04-19","","1529","1529","1529","2020-04-06","2020-04-19","","1529","1529","1529","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-07","2020-04-20","","1092","1092","1092","2020-04-07","2020-04-20","","1092","1092","1092","","","","","",""
