"Info Button"," ","","","","","",""
"New Tests","13522","","","","","",""
"Tests by Day W/ % Positivity (Serology)","5098","2020-06-28 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (Serology)","7015","2020-06-21 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (Serology)","5390","2020-06-14 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (Serology)","4374","2020-06-07 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (Serology)","3314","2020-05-31 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (Serology)","3212","2020-05-24 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (Serology)","3887","2020-05-17 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (Serology)","2125","2020-05-10 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (Serology)","1565","2020-05-03 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (Serology)","682","2020-04-26 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (Serology)","714","2020-04-19 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (Serology)","676","2020-04-12 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (Serology)","896","2020-04-05 00:00:00","Number of Records","","","",""
"Total Tests Conducted","769290","","","","","",""
"Age Group","Unknown","1857","","","","",""
"Age Group","65 years and older","144909","","","","",""
"Age Group","55 - 64 years","117532","","","","",""
"Age Group","45 - 54 years","120229","","","","",""
"Age Group","20 - 44 years","317381","","","","",""
"Age Group","Less than 20 years","67382","","","","",""
"Tests by Day W/ % Positivity (PCR)","5098","2020-06-28 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (PCR)","7015","2020-06-21 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (PCR)","5390","2020-06-14 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (PCR)","4374","2020-06-07 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (PCR)","3314","2020-05-31 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (PCR)","3212","2020-05-24 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (PCR)","3887","2020-05-17 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (PCR)","2125","2020-05-10 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (PCR)","1565","2020-05-03 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (PCR)","682","2020-04-26 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (PCR)","714","2020-04-19 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (PCR)","676","2020-04-12 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (PCR)","896","2020-04-05 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (PCR)","2080","2020-03-29 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (PCR)","1714","2020-03-22 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (PCR)","410","2020-03-15 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (PCR)","20","2020-03-08 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (PCR)","20407","2020-03-01 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (PCR)","481236","2020-02-23 00:00:00","Number of Records","","","",""
"Tests by Day W/ % Positivity (PCR)","546","2020-02-16 00:00:00","Number of Records","","","",""
"Tests by Day","16","2020-07-03 00:00:00","16","","","",""
"Tests by Day","1641","2020-07-02 00:00:00","1641","","","",""
"Tests by Day","4935","2020-07-01 00:00:00","4935","","","",""
"Tests by Day","8611","2020-06-30 00:00:00","8611","","","",""
"Tests by Day","13348","2020-06-29 00:00:00","13348","","","",""
"Tests by Day","5098","2020-06-28 00:00:00","5098","","","",""
"Tests by Day","7723","2020-06-27 00:00:00","7723","","","",""
"Tests by Day","18876","2020-06-26 00:00:00","18876","","","",""
"Tests by Day","20935","2020-06-25 00:00:00","20935","","","",""
"Tests by Day","21880","2020-06-24 00:00:00","21880","","","",""
"Tests by Day","21656","2020-06-23 00:00:00","21656","","","",""
"Tests by Day","19915","2020-06-22 00:00:00","19915","","","",""
"Tests by Day","7015","2020-06-21 00:00:00","7015","","","",""
"Tests by Day","11353","2020-06-20 00:00:00","11353","","","",""
"Tests by Day","20784","2020-06-19 00:00:00","20784","","","",""
"Tests by Day","19382","2020-06-18 00:00:00","19382","","","",""
"Tests by Day","16831","2020-06-17 00:00:00","16831","","","",""
"Tests by Day","17539","2020-06-16 00:00:00","17539","","","",""
"Tests by Day","16243","2020-06-15 00:00:00","16243","","","",""
"Tests by Day","5390","2020-06-14 00:00:00","5390","","","",""
"Tests by Day","8702","2020-06-13 00:00:00","8702","","","",""
"Tests by Day","16404","2020-06-12 00:00:00","16404","","","",""
"Tests by Day","15243","2020-06-11 00:00:00","15243","","","",""
"Tests by Day","15019","2020-06-10 00:00:00","15019","","","",""
"Tests by Day","15361","2020-06-09 00:00:00","15361","","","",""
"Tests by Day","14536","2020-06-08 00:00:00","14536","","","",""
"Tests by Day","4374","2020-06-07 00:00:00","4374","","","",""
"Tests by Day","5833","2020-06-06 00:00:00","5833","","","",""
"Tests by Day","13934","2020-06-05 00:00:00","13934","","","",""
"Tests by Day","12072","2020-06-04 00:00:00","12072","","","",""
"Tests by Day","11650","2020-06-03 00:00:00","11650","","","",""
"Tests by Day","12410","2020-06-02 00:00:00","12410","","","",""
"Tests by Day","12405","2020-06-01 00:00:00","12405","","","",""
"Tests by Day","3314","2020-05-31 00:00:00","3314","","","",""
"Tests by Day","9667","2020-05-30 00:00:00","9667","","","",""
"Tests by Day","12618","2020-05-29 00:00:00","12618","","","",""
"Tests by Day","11100","2020-05-28 00:00:00","11100","","","",""
"Tests by Day","9987","2020-05-27 00:00:00","9987","","","",""
"Tests by Day","10561","2020-05-26 00:00:00","10561","","","",""
"Tests by Day","2683","2020-05-25 00:00:00","2683","","","",""
"Tests by Day","3212","2020-05-24 00:00:00","3212","","","",""
"Tests by Day","6898","2020-05-23 00:00:00","6898","","","",""
"Tests by Day","9989","2020-05-22 00:00:00","9989","","","",""
"Tests by Day","9865","2020-05-21 00:00:00","9865","","","",""
"Tests by Day","9306","2020-05-20 00:00:00","9306","","","",""
"Tests by Day","10319","2020-05-19 00:00:00","10319","","","",""
"Tests by Day","10984","2020-05-18 00:00:00","10984","","","",""
"Tests by Day","3887","2020-05-17 00:00:00","3887","","","",""
