"Info Button"," ","","","","","","","","",""
"New Tests","9240","","","","","","","","",""
"Tests by Day W/ % Positivity (Serology)","7343","7343","2020-07-26 00:00:00","2020-07-25 00:00:00","Number of Records","4905","6806","2020-06-06 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","11225","11225","2020-07-19 00:00:00","2020-07-18 00:00:00","Number of Records","5529","9598","2020-06-05 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","12022","12022","2020-07-12 00:00:00","2020-07-11 00:00:00","Number of Records","7103","10709","2020-06-04 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","13240","13240","2020-07-05 00:00:00","2020-07-04 00:00:00","Number of Records","6970","6860","2020-06-03 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","13551","13551","2020-06-28 00:00:00","2020-06-27 00:00:00","Number of Records","7914","12042","2020-06-02 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","18355","18355","2020-06-21 00:00:00","2020-06-20 00:00:00","Number of Records","6776","10908","2020-06-01 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","16799","16799","2020-06-14 00:00:00","2020-06-13 00:00:00","Number of Records","5220","8410","2020-05-31 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","17474","17474","2020-06-07 00:00:00","2020-06-06 00:00:00","Number of Records","4243","5662","2020-05-30 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","18984","18984","2020-05-31 00:00:00","2020-05-30 00:00:00","Number of Records","3220","9440","2020-05-29 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","17881","17881","2020-05-24 00:00:00","2020-05-23 00:00:00","Number of Records","3165","6765","2020-05-28 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","24940","24940","2020-05-17 00:00:00","2020-05-16 00:00:00","Number of Records","3808","11907","2020-05-27 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","22406","22406","2020-05-10 00:00:00","2020-05-09 00:00:00","Number of Records","2079","10022","2020-05-26 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","23403","23403","2020-05-03 00:00:00","2020-05-02 00:00:00","Number of Records","1535","5536","2020-05-25 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","12901","12901","2020-04-26 00:00:00","2020-04-25 00:00:00","Number of Records","668","893","2020-05-24 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","216","216","2020-04-19 00:00:00","2020-04-18 00:00:00","Number of Records","687","713","2020-05-23 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","39","39","2020-04-12 00:00:00","2020-04-11 00:00:00","Number of Records","659","641","2020-05-22 00:00:00","% Positive",""
"Tests by Day W/ % Positivity (Serology)","11","11","2020-04-05 00:00:00","2020-04-04 00:00:00","Number of Records","662","873","2020-06-07 00:00:00","% Positive",""
"Total Tests Conducted","1187218","","","","","","","","",""
"Age Group","Unknown","Unknown","2653","2653","","","","","",""
"Age Group","65 years and older","65 years and older","204071","204071","","","","","",""
"Age Group","55 - 64 years","55 - 64 years","173394","173394","","","","","",""
"Age Group","45 - 54 years","45 - 54 years","183568","183568","","","","","",""
