"Hospital number","5161","",""
"Hospital percent","0.0526154818583124","",""
"Info Button"," ","",""
"Age Group","65+","2112",""
"Age Group","55-64y","980",""
"Age Group","45-54y","835",""
"Age Group","20-44y","1158",""
"Age Group","<20y","76",""
"Race/Ethnicity","UNKNOWN","352",""
"Race/Ethnicity","OTHER, NON-HISPANIC","90",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","84",""
"Race/Ethnicity","BLACK, NON-HISPANIC","249",""
"Race/Ethnicity","NATIVE AMERICAN","723",""
"Race/Ethnicity","HISPANIC OR LATINO","1854",""
"Race/Ethnicity","WHITE, NON-HISPANIC","1809",""
"Gender","Male","2621",""
"Gender","Female","2538",""
"Date Updated"," ","",""
"Epi Curve","2","2020-07-04 00:00:00",""
"Epi Curve","4","2020-07-02 00:00:00",""
"Epi Curve","15","2020-07-01 00:00:00",""
"Epi Curve","13","2020-06-30 00:00:00",""
"Epi Curve","27","2020-06-29 00:00:00",""
"Epi Curve","26","2020-06-28 00:00:00",""
"Epi Curve","23","2020-06-27 00:00:00",""
"Epi Curve","30","2020-06-26 00:00:00",""
"Epi Curve","40","2020-06-25 00:00:00",""
"Epi Curve","41","2020-06-24 00:00:00",""
"Epi Curve","46","2020-06-23 00:00:00",""
"Epi Curve","37","2020-06-22 00:00:00",""
"Epi Curve","41","2020-06-21 00:00:00",""
"Epi Curve","40","2020-06-20 00:00:00",""
"Epi Curve","52","2020-06-19 00:00:00",""
"Epi Curve","62","2020-06-18 00:00:00",""
"Epi Curve","57","2020-06-17 00:00:00",""
"Epi Curve","71","2020-06-16 00:00:00",""
"Epi Curve","91","2020-06-15 00:00:00",""
"Epi Curve","69","2020-06-14 00:00:00",""
"Epi Curve","74","2020-06-13 00:00:00",""
"Epi Curve","74","2020-06-12 00:00:00",""
"Epi Curve","76","2020-06-11 00:00:00",""
"Epi Curve","74","2020-06-10 00:00:00",""
"Epi Curve","78","2020-06-09 00:00:00",""
"Epi Curve","93","2020-06-08 00:00:00",""
"Epi Curve","76","2020-06-07 00:00:00",""
"Epi Curve","72","2020-06-06 00:00:00",""
