"Hospital number","7461","","","","",""
"Hospital percent","0.0477348193549625","","","","",""
"Info Button"," ","","","","",""
"Age Group","%null%","Unknown","1","1","",""
"Age Group","65+","65 years and older","3361","3361","",""
"Age Group","55-64y","55 - 64 years","1331","1331","",""
"Age Group","45-54y","45 - 54 years","1102","1102","",""
"Age Group","20-44y","20 - 44 years","1544","1544","",""
"Age Group","<20y","Less than 20 years","122","122","",""
"Race/Ethnicity","UNKNOWN","Unknown","614","0.0822945985792789","0.0822945985792789",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","149","0.0199705133360139","0.0199705133360139",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","109","0.0146093017021847","0.0146093017021847",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","326","0.0436938748157084","0.0436938748157084",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","819","0.109770808202654","0.109770808202654",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","2840","0.380646026001876","0.380646026001876",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","2604","0.349014877362284","0.349014877362284",""
"Gender","Male","3852","0.516561619954405","0.516561619954405","",""
"Gender","Female","3605","0.483438380045595","0.483438380045595","",""
"Date Updated"," ","","","","",""
"Epi Curve","5","5","2020-07-23 00:00:00","2020-07-22 00:00:00","",""
"Epi Curve","17","17","2020-07-22 00:00:00","2020-07-21 00:00:00","",""
"Epi Curve","21","21","2020-07-21 00:00:00","2020-07-20 00:00:00","",""
"Epi Curve","41","41","2020-07-20 00:00:00","2020-07-19 00:00:00","",""
"Epi Curve","41","41","2020-07-19 00:00:00","2020-07-18 00:00:00","",""
"Epi Curve","39","39","2020-07-18 00:00:00","2020-07-17 00:00:00","",""
"Epi Curve","45","45","2020-07-17 00:00:00","2020-07-16 00:00:00","",""
"Epi Curve","42","42","2020-07-16 00:00:00","2020-07-15 00:00:00","",""
"Epi Curve","41","41","2020-07-15 00:00:00","2020-07-14 00:00:00","",""
"Epi Curve","51","51","2020-07-14 00:00:00","2020-07-13 00:00:00","",""
"Epi Curve","75","75","2020-07-13 00:00:00","2020-07-12 00:00:00","",""
"Epi Curve","49","49","2020-07-12 00:00:00","2020-07-11 00:00:00","",""
"Epi Curve","54","54","2020-07-11 00:00:00","2020-07-10 00:00:00","",""
"Epi Curve","72","72","2020-07-10 00:00:00","2020-07-09 00:00:00","",""
