"Hospital number","25348","","","","",""
"Hospital percent","0.0785317280821875","","","","",""
"Info Button"," ","","","","",""
"Age Group","%null%","Unknown","5","5","",""
"Age Group","65+","65 years and older","10248","10248","",""
"Age Group","55-64y","55 - 64 years","4862","4862","",""
"Age Group","45-54y","45 - 54 years","3907","3907","",""
"Age Group","20-44y","20 - 44 years","5678","5678","",""
"Age Group","<20y","Less than 20 years","648","648","",""
"Race/Ethnicity","UNKNOWN","Unknown","1818","0.0717216348429857","0.0717216348429857",""
"Race/Ethnicity","OTHER, NON-HISPANIC","Other, Non-Hispanic","804","0.0317184787754458","0.0317184787754458",""
"Race/Ethnicity","ASIAN/PACIFIC ISLAND","Asian/Pacific Islander","356","0.0140445005523118","0.0140445005523118",""
"Race/Ethnicity","BLACK, NON-HISPANIC","Black, Non-Hispanic","1146","0.0452106675082847","0.0452106675082847",""
"Race/Ethnicity","NATIVE AMERICAN","Native American","2459","0.0970096260059965","0.0970096260059965",""
"Race/Ethnicity","HISPANIC OR LATINO","Hispanic or Latino","8846","0.3489821682184","0.3489821682184",""
"Race/Ethnicity","WHITE, NON-HISPANIC","White, Non-Hispanic","9919","0.391312924096576","0.391312924096576",""
"Gender","Male","13163","0.519496408556319","0.519496408556319","",""
"Gender","Female","12175","0.480503591443681","0.480503591443681","",""
"Date Updated"," ","","","","",""
"Epi Curve","11","11","2020-11-26 00:00:00","2020-11-25 00:00:00","",""
"Epi Curve","48","48","2020-11-25 00:00:00","2020-11-24 00:00:00","",""
"Epi Curve","98","98","2020-11-24 00:00:00","2020-11-23 00:00:00","",""
"Epi Curve","136","136","2020-11-23 00:00:00","2020-11-22 00:00:00","",""
"Epi Curve","183","183","2020-11-22 00:00:00","2020-11-21 00:00:00","",""
"Epi Curve","186","186","2020-11-21 00:00:00","2020-11-20 00:00:00","",""
"Epi Curve","160","160","2020-11-20 00:00:00","2020-11-19 00:00:00","",""
"Epi Curve","186","186","2020-11-19 00:00:00","2020-11-18 00:00:00","",""
"Epi Curve","167","167","2020-11-18 00:00:00","2020-11-17 00:00:00","",""
"Epi Curve","179","179","2020-11-17 00:00:00","2020-11-16 00:00:00","",""
"Epi Curve","162","162","2020-11-16 00:00:00","2020-11-15 00:00:00","",""
"Epi Curve","140","140","2020-11-15 00:00:00","2020-11-14 00:00:00","",""
"Epi Curve","169","169","2020-11-14 00:00:00","2020-11-13 00:00:00","",""
"Epi Curve","161","161","2020-11-13 00:00:00","2020-11-12 00:00:00","",""
"Epi Curve","142","142","2020-11-12 00:00:00","2020-11-11 00:00:00","",""
"Epi Curve","150","150","2020-11-11 00:00:00","2020-11-10 00:00:00","",""
"Epi Curve","139","139","2020-11-10 00:00:00","2020-11-09 00:00:00","",""
"Epi Curve","136","136","2020-11-09 00:00:00","2020-11-08 00:00:00","",""
"Epi Curve","110","110","2020-11-08 00:00:00","2020-11-07 00:00:00","",""
"Epi Curve","94","94","2020-11-07 00:00:00","2020-11-06 00:00:00","",""
"Epi Curve","138","138","2020-11-06 00:00:00","2020-11-05 00:00:00","",""
"Epi Curve","144","144","2020-11-05 00:00:00","2020-11-04 00:00:00","",""
"Epi Curve","111","111","2020-11-04 00:00:00","2020-11-03 00:00:00","",""
"Epi Curve","93","93","2020-11-03 00:00:00","2020-11-02 00:00:00","",""
"Epi Curve","110","110","2020-11-02 00:00:00","2020-11-01 00:00:00","",""
"Epi Curve","87","87","2020-11-01 00:00:00","2020-10-31 00:00:00","",""
"Epi Curve","100","100","2020-10-31 00:00:00","2020-10-30 00:00:00","",""
"Epi Curve","99","99","2020-10-30 00:00:00","2020-10-29 00:00:00","",""
"Epi Curve","89","89","2020-10-29 00:00:00","2020-10-28 00:00:00","",""
"Epi Curve","92","92","2020-10-28 00:00:00","2020-10-27 00:00:00","",""
"Epi Curve","92","92","2020-10-27 00:00:00","2020-10-26 00:00:00","",""
"Epi Curve","84","84","2020-10-26 00:00:00","2020-10-25 00:00:00","",""
"Epi Curve","71","71","2020-10-25 00:00:00","2020-10-24 00:00:00","",""
"Epi Curve","71","71","2020-10-24 00:00:00","2020-10-23 00:00:00","",""
"Epi Curve","76","76","2020-10-23 00:00:00","2020-10-22 00:00:00","",""
"Epi Curve","76","76","2020-10-22 00:00:00","2020-10-21 00:00:00","",""
"Epi Curve","77","77","2020-10-21 00:00:00","2020-10-20 00:00:00","",""
"Epi Curve","80","80","2020-10-20 00:00:00","2020-10-19 00:00:00","",""
"Epi Curve","81","81","2020-10-19 00:00:00","2020-10-18 00:00:00","",""
"Epi Curve","52","52","2020-10-18 00:00:00","2020-10-17 00:00:00","",""
"Epi Curve","56","56","2020-10-17 00:00:00","2020-10-16 00:00:00","",""
"Epi Curve","64","64","2020-10-16 00:00:00","2020-10-15 00:00:00","",""
"Epi Curve","60","60","2020-10-15 00:00:00","2020-10-14 00:00:00","",""
"Epi Curve","55","55","2020-10-14 00:00:00","2020-10-13 00:00:00","",""
"Epi Curve","54","54","2020-10-13 00:00:00","2020-10-12 00:00:00","",""
"Epi Curve","63","63","2020-10-12 00:00:00","2020-10-11 00:00:00","",""
"Epi Curve","55","55","2020-10-11 00:00:00","2020-10-10 00:00:00","",""
"Epi Curve","47","47","2020-10-10 00:00:00","2020-10-09 00:00:00","",""
"Epi Curve","49","49","2020-10-09 00:00:00","2020-10-08 00:00:00","",""
"Epi Curve","43","43","2020-10-08 00:00:00","2020-10-07 00:00:00","",""
"Epi Curve","49","49","2020-10-07 00:00:00","2020-10-06 00:00:00","",""
"Epi Curve","46","46","2020-10-06 00:00:00","2020-10-05 00:00:00","",""
"Epi Curve","49","49","2020-10-05 00:00:00","2020-10-04 00:00:00","",""
"Epi Curve","41","41","2020-10-04 00:00:00","2020-10-03 00:00:00","",""
"Epi Curve","41","41","2020-10-03 00:00:00","2020-10-02 00:00:00","",""
"Epi Curve","43","43","2020-10-02 00:00:00","2020-10-01 00:00:00","",""
"Epi Curve","37","37","2020-10-01 00:00:00","2020-09-30 00:00:00","",""
"Epi Curve","38","38","2020-09-30 00:00:00","2020-09-29 00:00:00","",""
"Epi Curve","29","29","2020-09-29 00:00:00","2020-09-28 00:00:00","",""
"Epi Curve","44","44","2020-09-28 00:00:00","2020-09-27 00:00:00","",""
"Epi Curve","42","42","2020-09-27 00:00:00","2020-09-26 00:00:00","",""
"Epi Curve","34","34","2020-09-26 00:00:00","2020-09-25 00:00:00","",""
"Epi Curve","29","29","2020-09-25 00:00:00","2020-09-24 00:00:00","",""
"Epi Curve","35","35","2020-09-24 00:00:00","2020-09-23 00:00:00","",""
"Epi Curve","23","23","2020-09-23 00:00:00","2020-09-22 00:00:00","",""
"Epi Curve","30","30","2020-09-22 00:00:00","2020-09-21 00:00:00","",""
"Epi Curve","33","33","2020-09-21 00:00:00","2020-09-20 00:00:00","",""
"Epi Curve","30","30","2020-09-20 00:00:00","2020-09-19 00:00:00","",""
"Epi Curve","21","21","2020-09-19 00:00:00","2020-09-18 00:00:00","",""
"Epi Curve","23","23","2020-09-18 00:00:00","2020-09-17 00:00:00","",""
"Epi Curve","30","30","2020-09-17 00:00:00","2020-09-16 00:00:00","",""
"Epi Curve","21","21","2020-09-16 00:00:00","2020-09-15 00:00:00","",""
"Epi Curve","28","28","2020-09-15 00:00:00","2020-09-14 00:00:00","",""
"Epi Curve","28","28","2020-09-14 00:00:00","2020-09-13 00:00:00","",""
"Epi Curve","16","16","2020-09-13 00:00:00","2020-09-12 00:00:00","",""
"Epi Curve","18","18","2020-09-12 00:00:00","2020-09-11 00:00:00","",""
"Epi Curve","25","25","2020-09-11 00:00:00","2020-09-10 00:00:00","",""
"Epi Curve","22","22","2020-09-10 00:00:00","2020-09-09 00:00:00","",""
"Epi Curve","25","25","2020-09-09 00:00:00","2020-09-08 00:00:00","",""
"Epi Curve","28","28","2020-09-08 00:00:00","2020-09-07 00:00:00","",""
"Epi Curve","29","29","2020-09-07 00:00:00","2020-09-06 00:00:00","",""
"Epi Curve","33","33","2020-09-06 00:00:00","2020-09-05 00:00:00","",""
"Epi Curve","24","24","2020-09-05 00:00:00","2020-09-04 00:00:00","",""
"Epi Curve","28","28","2020-09-04 00:00:00","2020-09-03 00:00:00","",""
"Epi Curve","29","29","2020-09-03 00:00:00","2020-09-02 00:00:00","",""
"Epi Curve","34","34","2020-09-02 00:00:00","2020-09-01 00:00:00","",""
